"bam_id","abbreviation","label","author_latin","author_certain","dump_id","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","x","y","century","start1","start2","start3","start4","start","startb","end2","end","century_certain","date_of_birth","date_of_birth_start",,"date_of_birth_end","date_of_birth_certain","date_of_death","date_of_death_start","date_of_death_end","date_of_death_certain","date_of_death_marker","floruit","floruit_start","floruit_end","floruit_certain","floruit_marker","late_antique","christian"
"1446","Polem. Sylv.","Polemeus Sylvius","Polemeus Sylvius",,"4257",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1720","Turc.Ruf.Ast","Turcius Rufus Asterius","Turcius Rufus Asterius",,"5084",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1823","Zac.-Chris","Zacchaeus Christianus","Zacchaeus Christianus",,"5432",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y",
"182","Amoe.","Amoenus","Amoenus",,"420",,"Unknown","Unknown"," ",,,"CE 5","401",1,1,401,"1/1/401","0401-01-01","500","12/31/500","t","?",,"1/1/",,,,,,,,"?",,,,,"Y","Y"
"213","Hist.Apoll.A.","Anonymous","Anonymous",,"3023",,"Unknown","Unknown"," ",,,"CE 5-6","401",1,1,401,"1/1/401","0401-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,"Y","N"
"232","Car.Pass.Dom.","Anonymous","Anonymous",,"1347",,"France","Gallus"," ",,,"CE 5-6","401",1,1,401,"1/1/401","0401-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,,"Y"
"982","Ioan.M.","Ioannes Moschus","Ioannes Moschus",,"3092",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t","CE 550",550,"1/1/550",550,,"CE 619",619,619,,,,,,,,"Y","Y"
"991","Ioan.M.","Iohannes Moschus","Iohannes Moschus",,"3093",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t","CE 550",550,"1/1/550",550,,"CE 619",619,619,,,,,,,,"Y","Y"
"1715","Trif.","Trifolius Presbyter","Trifolius Presbyter",,"5072",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,"CE 520","1/1/520","12/31/520",,,"Y","Y"
"153","Ps.Agen.","Agennius Vrbicus (Ps.)","Agennius Vrbicus (Ps.)",,"4503","Agennius Vrbicus (Ps.)","Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,"c. CE 400","1/1/400","12/31/400","f",,"Y","Y"
"1242","Mon. Ben.","Monachi Benedictini Solesmenses","Monachi Benedictini Solesmenses",,"3730",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1560","Radeg.","Radegundis Regina Francorum","Radegundis Regina Francorum",,"4561","Radegund","Central Germany","Thuringia"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1652","Steph. Abb.","Stephanus Abbas","Stephanus Abbas",,"4850",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1770","Vig.Diac.","Vigilius Diaconus","Vigilius Diaconus",,"5296",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t",,,"1/1/",,,,,,,,,,,,,"Y",
"251","Anton.-Discip.","Antonius discipulus Simeonis Stylitae","Antonius discipulus Simeonis Stylitae",,"509",,"Unknown","Unknown"," ",,,"CE 6?","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","f",,,"1/1/",,,,,,,,,,,,,,"Y"
"184","Anagn.","Anagnosticus regis","Anagnosticus regis",,"474",,"Unknown","Unknown"," ",,,"CE 6","501",1,1,501,"1/1/501","0501-01-01","600","12/31/600","t","?",,"1/1/",,,,,,,,"?",,,,,"Y","Y"
"1637","Siseb.","Sisebutus","Sisebutus",,"4822","Sisebut","Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ",,,"CE 7","601",1,1,601,"1/1/601","0601-01-01","700","12/31/700","t",,,"1/1/",,,,,,,,"CE 612-620","1/1/612","12/31/620",,,,"Y"
"1638","Siseb.","Sisebutus, rex Visigothorum","Sisebutus, rex Visigothorum",,"4824",,"Ruled over part of Portugal, Spain and S France","Hispania, Septimania and Galicia"," ",,,"CE 7","601",1,1,601,"1/1/601","0601-01-01","700","12/31/700","t",,,"1/1/",,,,,,,,"CE 612-620","1/1/612","12/31/620",,,,
"609","Dag.I.","Dagobertus I Francorum","Dagobertus I Francorum",,"2070",,"Approximately Belgium, S. Netherlands, W Germany, and NE France","Austrasia"," ",,,"CE 7","601",1,1,601,"1/1/601","0601-01-01","700","12/31/700","t",,,"1/1/",,,"c. CE 639",639,639,"f",,,,,,,,"Y"
"377","Aut.","Autbertus Cameracensis","Autbertus Cameracensis",,"1020",,"Unknown","Unknown"," ",,,"CE 7","601",1,1,601,"1/1/601","0601-01-01","700","12/31/700","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1180","Marc.Cass.","Marcus Cassinensis","Marcus Cassinensis",,"3596",,"Unknown","Unknown"," ",,,"CE 7","601",1,1,601,"1/1/601","0601-01-01","700","12/31/700","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1412","Paul.","Paulus Vinfridus","Paulus Vinfridus",,"4084",,"Unknown","Unknown"," ",,,"CE 8","701",1,1,701,"1/1/701","0701-01-01","800","12/31/800","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"229","Epist.Alex.","Anonymous","Anonymous",,"2289",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,"?","N"
"230","Lib.DePraenom.","Anonymous","Anonymous",,"3428",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,
"234","DeBel.Caes.Pomp.","Anonymous","Anonymous",,"2084",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,"?","N"
"1066","Leod.","Leodevaldus","Leodevaldus",,"3418",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,"Y"
"1093","Lon.","Lonegisilus Buciacensis","Lonegisilus Buciacensis",,"3470",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,"Y"
"1132","Lucul.","Luculentus","Luculentus",,"3462",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"1220","Maur.","Maurini","Maurini",,"3645",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,"Y"
"1406","Paul. et Steph.","Paulus Abbas et Stephanus Abbas","Paulus Abbas et Stephanus Abbas",,"4085",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,
"1492","Ps.-Mar.-Vict.","Pseudo Marius Victorinus","Pseudo Marius Victorinus",,"4487",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,"Y"
"1643","Soph.","Sophronius Ierosolymitanus; Paulus diaconus ","Sophronius Ierosolymitanus; Paulus diaconus ",,"4832",,"Unknown","Unknown"," ",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,"Y"
"273","Archidiaconus.","Archidiaconus quidam","Archidiaconus quidam",,"598",,"Unknown","Unknown"," ",,,"?",,,,,,,,,"f","?",,"1/1/",,,,,,,,"?",,,,,,"Y"
"1504","Tac.","Publius Cornelius Tacitus / Gaius Cornelius Tacitus","Publius Cornelius Tacitus / Gaius Cornelius Tacitus",,"4946","Tacitus","Cisalpine or Narbonese Gaul (Born) / Rome, Italy","Gallia Cisalpina or Gallia Narbonensis (Born) / Roma, Italia","  for Gallia Cisalpina, 981537 / 423025",3.1766232,42.4395125,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. CE 55",55,"1/1/55",55,"f","c. CE 117",117,117,"f",,,,,,,"N","N"
"1598","Secund.","Secundinus Manichaeus","Secundinus Manichaeus",,"4714",,"Rome, Italy or North Africa","Roma, Italy or Africa"," 423025 or 775",12.4861685,41.8917375,"CE 4/5","301",1,1,301,"1/1/301","0301-01-01","500","12/31/500","t",,,"1/1/",,,,,,,,,,,,,"Y","Y"
"770","Ioseph./Hier./AI","Flavius Iosephus/Hieronymus Stridonensis/Auctor Incertus","Flavius Iosephus/Hieronymus Stridonensis/Auctor Incertus",,"3125",,"/ Near Ljubljana, Slovenia","/ Stridon (near Labacum), Dalmatia","/ 203160",,,,,,,,,,,,"f",,,"1/1/",,,,,,,,,,,,,,
"1113","Sis.","Lucius Cornelius Sisenna","Lucius Cornelius Sisenna",,"4819",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. BCE 120",-120,"1/1/-120",-120,"f","c. BCE 67",-67,-67,"f",,,,,,,"N","N"
"1702","Labienus.","Titus Labienus","Titus Labienus",,"3362",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","BCE 106",-106,"1/1/-106",-106,,,,,,,,,,,,"N","N"
"1555","Q.Cic.","Quintus Tullius Cicero, Marci frater","Quintus Tullius Cicero, Marci frater",,"4517",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","BCE 103",-103,"1/1/-103",-103,,"BCE 43",-43,-43,,,,,,,,,
"407","Bib.","Bibaculus, Marcus Furius","Bibaculus, Marcus Furius",,"1076",,"Cremona, Italy","Cremona, Italia",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","BCE 103",-103,"1/1/-103",-103,,"BCE ?",,,,,,,,,,,"N"
"572","Nep.","Cornelius Nepos","Cornelius Nepos",,"3750","Nepos","Cisalpine Gaul","Gallia Cisalpina",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. BCE 100",-100,"1/1/-100",-100,"f","c. BCE 25",-25,-25,"f",,,,,,,"N","N"
"831","Caes.","Gaius Iulius Caesar","Gaius Iulius Caesar",,"1272",,"Rome, Italy","Roma, Italia",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","BCE 100",-100,"1/1/-100",-100,,"BCE 44",-44,-44,,,,,,,,"N","N"
"1043","Libo.","L. Scribonius Libo","L. Scribonius Libo",,"3435",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. BCE 90",-90,"1/1/-90",-90,"f",,,,,,"c. BCE 49-34","1/1/-49","12/31/-34","f",,,
"1165","Lep.II.","Marcus Aemilius Lepidus","Marcus Aemilius Lepidus",,"3423",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","BCE 89",-89,"1/1/-89",-89,,"c. BCE 13/12",-13,-12,"f",,,,,,,,
"571","C.Gal.","Cornelius Gallus, Gaius","Cornelius Gallus, Gaius",,"1170",,"Fréjus, France","Forum Iulii, Gaul Narbonensis",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t","c. BCE 69",-69,"1/1/-69",-69,"f","BCE 26",-26,-26,,,,,,,,"N","N"
"1041","Lic.Lucull.","L. Licinius Lucullus","L. Licinius Lucullus",,"3437",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"c. BCE 74-66","1/1/-74","12/31/-66","f",,,
"391","Amp.Balb.","Balbus, Titus Ampius","Balbus, Titus Ampius",,"424",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"c. BCE 63-50","1/1/-63","12/31/-50","f",,,
"1496","Pub.","Publilius Syrus","Publilius Syrus",,"4511",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"c. BCE 45","1/1/-45","12/31/-45","f",,"N","N"
"1849","ps.-Pub.","ps.-Publilius Syrus","ps.-Publilius Syrus",,"4489",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"c. BCE 45","1/1/-45","12/31/-45","f",,"N","N"
"1038","Arrun.","L. Arruntius","L. Arruntius",,"615",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"c. BCE 22","1/1/-22","12/31/-22","f",,,
"1742","Val.Com.","Valerius, comoed.","Valerius, comoed.",,"5141",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"BCE 53","1/1/-53","12/31/-53",,,,
"1547","Nov.","Quintus Novius","Quintus Novius",,"3804","Novius",,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,"BCE 30","1/1/-30","12/31/-30",,,"N","N"
"1544","Lutat.Iun.","Quintus Lutatius Catulus Iunior","Quintus Lutatius Catulus Iunior",,"3507",,"Rome, Italy","Roma, Italia",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,"c. BCE 61",-61,-61,"f",,,,,,,"N","N"
"118","AI","Acta ludorum saecularium quintorum Augusti","Acta ludorum saecularium quintorum Augusti",,"285",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"577","Cornif.Gal.","Cornificius Gallus","Cornificius Gallus",,"1976",,,,,,,"c. BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","f",,,"1/1/",,,,,,,,,,,,,,
"144","Aes.","Aesopus","Aesopus",,"215",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"160","Alb.-P.","Albinovanus Pedo","Albinovanus Pedo",,"301",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"261","Clod.Pul.","Appius Claudius Pulcher","Appius Claudius Pulcher",,"1801",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"360","Aul.Of.","Aulus Ofilius","Aulus Ofilius",,"951",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"424","Gal.","C. Aelius Gallus","C. Aelius Gallus",,"2577","Aelius Gallus","Unknown","Unknown",,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"428","C.Piso.","C. Piso","C. Piso",,"1191",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"434","Caecin.","Caecina Severus, Aulus","Caecina Severus, Aulus",,"1241",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"440","Caepasius.","Caepasius, Gaius/Lucius","Caepasius, Gaius/Lucius",,"1258",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"506","Claudius","Claudius Quadrigarius, Quintus","Claudius Quadrigarius, Quintus",,"1794",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,"N"
"515","Ser.Clod.","Clodius, Servius","Clodius, Servius",,"4769",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"574","Cornel.","Cornelius grammaticus","Cornelius grammaticus",,"1974",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"580","Corn.","Cornutus","Cornutus",,"1966",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
"590","Curiat.","Curiatius","Curiatius",,"2000",,,,,,,"BCE 1",-100,1,1,-100,"1/1/-100","-0100-01-01","-1-12-31","12/31/-1","t",,,"1/1/",,,,,,,,,,,,,,
