"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Opp.Char.","Oppius Chares",,,,,"BCE 1",,,,,,,
"Opt.Porf.","Optatianus Porfyrius",,,,,"CE 4",,,,,,,
"Ant.Ruf.","Antonius Rufus",,,,,,,,,,,,
"Or.Sib.","Oracula Sibyllina",,,,,,,,,,"Y",,
"Ant.Pan.","Antonius Panurgus",,,,,"BCE 1/CE 1",,,,,,,
"Ant.Iul.","Antonius Iulianus",,,,,"CE 2",,,,,,,
"Anton.-Honor.","Antoninus Honoratus Episcopus Constantensis",,"Constantia, Africa",,,"CE 5",,,"Scripsit circa 437","Y","Y",,
"Gal.Ant.","Antipater, Gallus",,,,,,,,"fl. 268-306",,,,
"Palaem(Ps).","Palaemon, Ps.",,,,,"CE 4",,,,,,,
"Pan.Mes.","Panegyricus Messallae",,,,,"BCE 1",,,,,,,
"Pap.","Papinius siue Pomponius, epigram.",,,,,"BCE 1-CE 1",,,,,,,
"Parth.","Parthenius Presbyter (Parthenius Constantinopolitanus?)",,,,,"CE 5",,,,,"Y",,
"Pasch.","Paschasius Diaconus Incertus",,,,,,,,,,"Y",,
,"Passio ""Martyrum Graecorum"" (Eusebii, Marcelli, Hippolyti et sociorum)",,,,,"CE 5-6",,,,,,,
,"Passio Adventoris, Octavii et Solutoris",,,,,"CE 5",,,,,,,
,"Passio Alexandri (papae), Eventii, Theoduli, Hermetis et Quirini",,,,,"CE 6",,,,,,,
,"Passio Alexandri Bergomensis",,,,,"CE 6",,,,,,,
,"Passio Alexandri episcopi Baccanensis",,,,,"CE 5-6",,,,,,,
,"Passio Anthimi presbyteri, Sisinnii diaconi, Piniani et Lucinae",,,,,"CE 6",,,,,,,
,"Passio Caesarii diaconi et Iuliani presbyteri",,,,,"CE 5-6",,,,,,,
"Papir.","Papirianus",,,,,"CE 5?",,,,,,,
"An.Ep.","Anonymus",,,,,,,,,,,,
"An.De.Poen.","Anonymus",,,,,,,,,,,,
,"Passio Naboris et Felicis",,,,,"CE 5",,,,,,,
,"Passio Nazarii et Celsi",,,,,"CE 5-6",,,,,,,
,"Passio Polochronii, Parmenii, Abdon et Sennes, Xysti, Felicissimi et Agapiti et Laurentii et aliorum sanctorum mensi augusto die X",,,,,"CE 5-6",,,,,,,
,"Passio S. Agathae",,,,,"CE 6",,,,,,,
,"Passio S. Agnetis",,,,,"CE 6",,,,,,,
,"Passio S. Apollinaris episcopi Ravennatensis",,,,,"CE 5-6",,,,,,,
"DeTax.b.","Anonymous",,,,,,,,,,,,
"DeChar.","Anonymous",,,,,,,,,,"Y",,
"Comm.Bern.Luc.","Anonymous",,,,,"CE 4",,,,"Y",,,
,"Passio S. Eutici presbyteri",,,,,"CE 6",,,,,,,
"DeReb.Bell.","Anonymous",,,,,,,,,,,,
,"Passio S. Feliciani episcopi Fulginatis",,,,,"CE 6-7",,,,,,,
,"Passio S. Felicis presbyteri Romani",,,,,"CE 6",,,,,,,
,"Passio S. Felicitatis cum vii filiis",,,,,"CE 4-5",,,,,,,
,"Passio S. Ferreoli tribuni",,"Vienne",,,"CE 5",,,,,,,
,"Passio S. Genesii martyris",,,,,"CE 6-7",,,,,,,
,"Passio S. Ioannis abbatis Penariensis",,,,,"CE 6",,,,,,,
"DeCreat.","Anonymous",,,,,,,,,,"Y",,
"Vit.Epict.EtAst.","Anonymous",,,,,,,,,,"Y",,
,"Passio S. Iusti Tergestini",,,,,"CE 6",,,,,,,
,"Passio S. Pancratii",,,,,"CE 6",,,,,,,
,"Passio S. Pastoris martyris",,,,,"CE 6",,,,,,,
,"Passio S. Patrocli",,,,,"CE 6",,,,,,,
,"Passio S. Pontiani Spoletani",,,,,"CE 5-6",,,,,,,
,"Passio S. Pontii Cimellensis",,,,,"CE 6",,,,,,,
"Quer.","Anonymous",,,,,"CE 5",,,,"Y","N",,
,"Passio S. Restituti",,,,,"CE 6",,,,,,,
"Vit.Eug.","Anonymous",,,,,,,,,,"Y",,
,"Passio S. Saturnini episcopi Tolosani",,,,,"CE 5",,,,,,,
,"Passio S. Secundi",,,,,"CE 6",,,,,,,
,"Passio S. Secundi Thebaei",,,,,"CE 6",,,,,,,
"Test.Porc.","Anonymous",,,,,,,,,"Y",,,
,"Passio S. Stephani papae",,,,,"CE 6",,,,,,,
,"Passio S. Symphoriani Augustodunensis",,,,,"CE 5",,,,,,,
"DeTax.a.","Anonymous",,,,,,,,,,,,
,"Passio SS. Albani, Amphibali, et soc. in Anglia",,,,,"CE 6",,,,,,,
,"Passio SS. Ansani et Maximae",,,,,"CE 6",,,,,,,
,"Passio SS. Aureae seu Chryses, Censurini et sociorum, martyrum Ostiensium",,,,,"CE 6",,,,,,,
,"Passio SS. Caloceri et Parthenii, Victoriae, Anatoliae et Audacis",,,,,"CE 5-6",,,,,,,
,"Passio SS. Eusebii, Pontiani, Vincentii et Peregrini",,,,,"CE 6",,,,,,,
,"Passio SS. Eustachii et Placidae",,,,,"CE 5-6",,,,,,,
,"Passio SS. Felicis et Adaucti",,,,,"CE 6-7",,,,,,,
,"Passio SS. Felicis et Forntunati",,,,,"CE 5-6",,,,,,,
,"Passio SS. Felicis, Fortunati et Achillei diaconorum",,,,,"CE 6",,,,,,,
,"Passio SS. Hedisti, Prisci et sociorum",,,,,"CE 5-6",,,,,,,
,"Passio SS. Irenaei et Mustiolae",,,,,"CE 6",,,,,,,
,"Passio SS. Luxorii et sociorum",,,,,"CE 6",,,,,,,
"Pass.SS.Per.Fel.","Anonymous",,,,,,,,,,"Y",,
,"Passio SS. Marcellini et Petri",,,,,"CE 5-6",,,,,,,
"Pass.Alt.S.Cypr.","Anonymous",,,,,,,,,,"Y",,
,"Passio SS. Processi et Martiniani",,,,,"CE 6",,,,,,,
,"Passio SS. Pudentianae et Praxedis",,,,,"CE 5-6",,,,,,,
,"Passio SS. Rufinae et Secundae",,,,,"CE 5",,,,,,,
,"Passio SS. Sabini episcopie et sociorum Spoleti",,,,,"CE 6",,,,,,,
"Vit.Front.","Anonymous",,,,,,,,,,"Y",,
,"Passio SS. Secundiani, Marcelliani et Verani",,,,,"CE 5-6",,,,,,,
,"Passio SS. Serapiae et Sabinae",,,,,"CE 5-6",,,,,,,
"Adnotat.Luc.","Anonymous",,,,,"CE 4",,,,"Y","N",,
,"Passio Sivestri papae",,,,,"CE 5",,,,,,,
"Pas.And.Ap.","Passio sancti Andreae apostoli",,,,,,,,,,"Y",,
"Pas.Thom.","Passio sancti Thomae apostoli",,,,,,,,,,"Y",,
"Past.","Pastor Gallaeciae",,,,,"CE 5",,,"431-? CE","Y","Y",,
"Panegyric.","Anonymous",,,,,"CE 4",,,,"Y",,,
"Peri.","Anonymous",,,,,"CE 3",,,"c. CE 350","Y","N",,
"Patric(Ps).","Patricius Hiberniae (Incertus)",,,,,,,,,,"Y",,
"Ep.Sen.Paul","Paul, Seneca",,,,,,,,,,"Y",,
"Mort.Alex.","Anonymous",,,,,,,,,"Y","N",,
"P.-Nol(Ps).","Paulinus Nolanus (Incertus)",,,,,,,,,"Y","Y",,
"Prooemium.","Anonymous",,,,,,,,,,"Y",,
"DeOleo.Sanct.","Anonymous",,,,,,,,,,"Y",,
"Bell.Civ.","Anonymous",,,,,,,,,,,,
"P.Clod.","Paulus Clodius",,,,,,,,,,,,
"P.-Diac(Ps).","Paulus Diaconus, Ps.",,,,,,,,,,"Y",,
"Hist.Apoll.B.","Anonymous",,,,,,,,,"Y",,,
"Paul.Quaest.","Paulus Quaestor",,,,,,,,,,,,
"DeOrat.Eleem.","Anonymous",,,,,,,,,,"Y",,
"Pelag.","Pelagius Diaconus Incertus",,,,,"BCE 1-CE 1",,,,,"Y",,
"Pelagon.","Pelagonius",,,,,"CE 4",,,,,,,
"Pent.","Pentadius",,,,,"CE 4",,,"CE 354-361","Y",,,
"Per.Faus.","Perellius Faustus",,,,,"BCE 1-CE 1",,,,,,,
"Epit.Alex.","Anonymous",,,,,"CE 4",,,,"Y",,,
"Per.Ven.","Pervigilium Veneris",,,,,"CE 2/4/5",,,,,,,
"Pesc.","Pescennius Festus",,,,,"CE 2",,"c. CE 196/197",,,,,
"Carm.DeRes.","Anonymous",,,,,,,,,,"Y",,
"Chrysol.","Petrus Chrysologus",,,,,"CE 5",,,"c. CE 425-450",,"Y",,
"Petr","Petrus Referendarius",,,,,"CE 5/6",,,,,,,
"Phaed.","Phaedrus",,,,,"CE 1","c. BCE 20","c. CE 50",,"N","N",,
"Iun.Phil.","Philargyrius, Iunius",,,,,"CE 4/5",,,,,,,
"Philarg.","Philargyrius/Philagrius",,,,,"CE 5",,,,,,,
"Philarg.","Philargyrius/Philagrius (Iunius Philargyrius/Philagrius)",,,,,"CE 5",,,,,,,
"DeMyst.Bapt.","Anonymous",,,,,,,,,,"Y",,
"Phil.Pres.","Philippus Presbyter",,,,,"CE 5",,"CE 455/456",,"Y","Y",,
"Phil.","Philo",,,,,,,,,,"Y",,
"Philum.","Philumenus medicus",,,,,,,,,,,,
"Vit.Euphras.","Anonymous",,,,,,,,,,"Y",,
"Phoc(Ps.).","Phocas, Ps.",,,,,,,,,,,,
"Phot.","Photius",,,,,"CE 9","CE 820","CE 891",,,"Y",,
"Plac.","Placidus, Luctatius",,,,,"CE 5",,,,,,,
"Plin.Iun(Ps).","Plinius Secundus Iunior, Ps.",,,,,"CE 4",,,,"Y",,,
"Coll.Alex.Dindi.","Anonymous",,,,,,,,,,,,
"DePhys.Lib.","Anonymous",,,,,,,,,,,,
"Pol.Sil.","Polemius Silvius",,,,,"CE 5",,,,,,,
"Macer.II.","Pompeius Macer",,,,,"BCE 1-CE 1",,,,,,,
"Pomp.Maur.","Pompeius Maurus",,,,,,,,,,,,
"Saturn.","Pompeius Saturninus",,,"Gallia Cisalpina?",,"CE 1",,,,,,,
"Pompil.","Pompilius",,,,,,,,"100 BCE","N","N",,
"Pom.","Pomponius",,,,,"CE 4/5",,,,,,,
"An.Gramm.","Anonymi Grammatici",,,,,,,,,,,,
"Porph.","Pomponius Porphyrio",,,,,"CE 3","c. CE 200","c. CE 250",,"N","N",,
"An.Ep.Lyr.","Anonymi Epici et Lyrici",,,,,,,,,,,,
"Porcel.","Porcellus",,,,,"BCE 1-CE 1",,,,,,,
"Porc.","Porcius Licinus",,,,,"BCE 2",,,"CE 200","N","N",,
,"Porphyrius",,,,,"CE 5-6",,,,,,,
"An.Com.Tra.","Anonymi Comici et Tragici",,,,,,,,,,,,
"Postulat.","Postulationes iii de reconciliandis peccatoribus",,,,,"CE 5",,,,,,,
"Prec.Ter.","Precatio Terrae",,,,,,,,,,,,
"Comp.Pasch.","Anonymi ",,,,,,,,,,"Y",,
"Annius.","Annius Luscus, Titus",,,,,"BCE 2",,,,,,,
"Pris.Lyd.","Priscianus Lydus","Priscian of Lydia",,,,"CE 6",,,,"Y",,,
"Prisc.","Priscillianista quidam",,,,,,,,,,,,
"Annian.","Annianus",,,,,"CE 2",,,,,,,
"Prob(Ps.).","Probus (Ps.)",,,,,,,,,,,,
"Prob(Ps).","Probus, Ps.",,,,,"CE 4-5",,,,,,,
"Proch.","Prochorus",,,,,,,,,,"Y",,
"Proc.","Procilius",,,,,"BCE 1",,,,,,,
"Ann.Max.","Annales Maximi",,,,,"BCE 2",,,,,,,
"Anec.","Anecdotum Medicum",,,,,"CE 5/6",,,,,,,
"Prosp. ex Man.","Prosper ex Manichaeo Catholicus",,,,,"CE 6",,,,"Y","Y",,
"Prosp(Ps).","Prosper, Ps.",,,,,"CE 5",,,,"Y","Y",,
"Anast.-Bibliothec(Ps).","Anastasius bibliothecarius Incertus",,,,,"CE 9","CE 811","CE 879",,,"Y",,
"Prot.Iac.","Protevangelium Iacobi",,,,,,,,,,"Y",,
"Ps.-Cas.","Ps. Sebastiano Casinensi",,,,,,,,,,"Y",,
"PS-AU/PS-DAM/PS-FU/PS-GREG ILL/PS-HI
","Ps. [Augustinus / Damasus / Fulgentius / Gregorius Illiberitanus / Hieronymus]",,,,,,,,,,,,
"Arist.","Ps.-Aristotle",,,,,,,,,,,,
"Acr.","Pseudo-Acro",,,,,,,,,,,,
"Ps.Sal.","Pseudo-Sallust",,,,,"CE 1",,,,"N","N",,
"P.Optat.","Publilius Optatianus Porfyrius",,,,,"CE 4",,,,"Y","Y",,
"Pub.","Publilius Syrus",,,,,"BCE 1",,,"c. BCE 45","N","N",,
"Nam.","Publius Aufidius Namusa",,,,,"BCE 1",,,,,,,
"Ambr.","Ambrosius, episcopus Mediolanensis",,,,,,,,,,"Y",,
"Lavin.","Publius Lavinius",,,,,"CE 2",,,,,,,
"Gallien.","Publius Licinius Egnatius Gallienus Imperator",,,,,"CE 3",,"CE 268",,,,,
"Rustic.","Rusticus Presbyter",,,,,"CE 5",,,,,,,
"Ambr(Ps).","Ambrosius, Ps.","Ambrose, Pseudo",,,,,,,,,"Y",,
"Ambr(Ps).","Ambrosius Mediolanensis Episcopus (Ps.)",,,,,,,,,,"Y",,
,"Ambrosius (Ps.-)",,,,,"CE 5",,,,,,,
"Ambr.","Ambrosius",,,,,,,,,,"Y",,
"Ambrosiast(Ps).","Ambrosiaster (Ps)",,,,,,,,,,"Y",,
"Pub.Vol.","Publius Volumnius",,,,,"BCE 1",,,,,,,
"Pup.","Pupius (?) ",,,,,,,,,,,,
"Symm.","Q. Aurelius Memmius Symmachus",,,,,,,"c. CE 525",,"Y","Y",,
"Hor(Ps).","Q. Horatius Flaccus, pseudo",,,,,,,,,,,,
"Quaes.Bar.","Quaestiones Bartholomaei",,,,,,,,,,"Y",,
"Met.Mac.","Quintus Caecilius Metellus Macedonicus",,,,,"BCE 2",,,,"N","N",,
"Quad.","Quintus Claudius Quadrigarius",,,,,"BCE 1",,,,"N","N",,
"Q.Cornif.","Quintus Cornificius",,,,,,,,,,,,
"Coscon.","Quintus Cosconius",,,,,"BCE 2-1",,,,,,,
"Altercat.Hadrian.EtEpict.","Altercatio Hadriani Augusti et Epicteti Philosophi",,,,,"CE 6/7",,,,,,,
"Augur.","Quintus Gellius Sentius Augurinus",,,,,"CE 2",,,"CE 120",,,,
"Arul.Rust.","Quintus Iunius Arulenus Rusticus",,,"Gallia Cisalpina",,"CE 1","CE 35","CE 93","c. CE 66-92",,,,
"Lael.Arch.","Quintus Laelius Archelaus",,,,,"BCE 1",,,,,,,
"Lutat.Iun.","Quintus Lutatius Catulus Iunior",,"Rome, Italy","Roma, Italia",,"BCE 1",,"c. BCE 61",,"N","N",,
"Scaev.","Quintus Mucius Scaevola",,,,,,,,,,,,
"Nov.","Quintus Novius","Novius",,,,"BCE 1",,,"BCE 30","N","N",,
"Oct.Av.","Quintus Octavius Avitus",,,,,"BCE 1-CE 1",,,,,,,
"Pomp.Ruf.","Quintus Pompeius Q.f.A.n. Rufus",,,,,,,,,,,,
"Q.Pompeius.","Quintus Pompeius Q.f.Q.n. Rufus",,,,,,,,,,,,
"Ter.Scaur.","Quintus Terentius Scaurus",,,,,"CE 2",,,"CE 117-138","N","N",,
"Q.Cic.","Quintus Tullius Cicero, Marci frater",,,,,"BCE 1","BCE 103","BCE 43",,,,,
"Alc.","Alcuinus","Alcuin of York; also called Ealhwine, Albinus or Flaccus",,,,"CE 8","c. CE 735","c. CE 804",,,,,
"Rab.","Rabirius",,,,,"BCE 1",,,,,,,
"Aleth.","Alcimus Alethius",,,,,"CE 4",,,,,,,
"Alb.","Albinus",,,,,"CE 3-4",,,,,,,
"Ref.Quor.Nest.","Refutatio quorundam Nestorii dictorum",,,,,,,,,,,,
"Reg.","Regianus",,,,,"CE 5/6",,,,,,,
"Alb.-P.","Albinovanus Pedo",,,,,"BCE 1",,,,,,,
"Rem.","Remmius Favinus",,,,,,,,,,,,
"Rep.","Reposianus",,,,,"CE 3-4",,,"c. CE 300",,,,
"Rev.Esd.","Revelatio Esdrae de qualitatibus anni",,,,,,,,,,"Y",,
"Bland.","Rubellius Blandus",,,,,,,,,,,,
"Ruf(Ps).","Rufinus Aquileiensis Incertus",,,,,,,,,,"Y",,
"Ruf.Fest.","Rufius Festus","Festus",,,,"CE 4",,,,"Y",,,
"Iul.Afr.","Africanus, Iulius",,,,,,,,,,,,
"Rut.Nam.","Rutilius Claudius Namatianus",,,,,"CE 5",,,"CE 416","Y","Y",,
"Sabid.","Sabidius",,,,,"BCE 1",,,,,,,
"Sacr.Arg.","Sacra Argeorum",,,,,,,,,,,,
"Sal.Gen.","Salonus Genavensis",,,,,"CE 5",,,"c CE 450","Y","Y",,
"Salv.","Salvidienus",,,,,,,,,,,,
"Saserna","Saserna",,,,,,,,,,,,
"Sauf.","Saufeius",,,,,"BCE 1",,,,,,,
"Scaev.Mem.","Scaevus Memor",,,,,"CE 1",,,,"N","N",,
"Aeth.","Aethicus Ister",,,,,"CE 5/6",,,,,,,
"Schol.InJuv.","Scholia in Juvenalem",,,,,,,,,,,,
"Srib.Aph.","Scribonius Aphrodisius",,,,,"BCE 1-CE 1",,,,,,,
"S.H.A.","Scriptores Historiae Augustae",,,,,"CE 3-4",,,,"N","N",,
"Hist.Aug.","Scriptores Historiae Augustae",,,,,"CE 5",,,,"Y","N",,
"Aes.Lat.","Aesopus Latinus",,,,,"CE 4/5",,,,,,,
"Aes.","Aesopus",,,,,"BCE 1",,,,,,,
"Aen.Mer.","Aenigmata Merovingicae aetatis",,,,,"CE 4-8",,,,,,,
"Aen.Per.","Aenigma Peranticum",,,,,,,,,,,,
"Asel.","Sempronius Asellio",,,,,"BCE 2","c. BCE 160",,"c. BCE 134-133",,,,
"Sen.Con.","Senatus Consultum de Bacchanalibus",,,,,"BCE 2",,,,,,,
"Sep.","Septimius",,,,,,,,,,,,
"Samm.","Septimius Severus",,,,,,,,,,,,
"Serv.Hon.","Sergius Grammaticus / Marius Servius Honoratus (?)","Sergius",,,,"CE 4",,,,,,,
"Serm.domin.","Sermones Anonymi"," ",,,,,,,,,"Y",,
"Serv.A.","Seruius",,,,,"CE 4-5",,,,,,,
"Serv.Hon.","Servius Grammaticus / Marius Servius Honoratus (?)",,,,,"CE 4",,,,,,,
"Serv.Var.","Servius Varus",,,,,,,,,,,,
"Sescen.","Sescennius Iacchus",,,,,"BCE 1",,,,,,,
"Sev.","Severinus",,,,,,,,,,"Y",,
"Sev.End.","Severus Endelechius, rhetor Gallus",,,,,"CE 4",,,,,,,
"Sev.-M.","Severus, episcopus Malacitanus (?)",,,,,"CE 6",,,,"Y","Y",,
"Sextil.","Sextilius Ena",,,,,,,,,"N","N",,
"Catus.","Sextus Aelius Paetus Catus",,,,,"BCE 2",,,,,,,
"Erucius.Clar.","Sextus Erucius Clarus",,,,,,,,,,,,
"Pacon.","Sextus Paconianus",,,,,"CE 1",,,,"N","N",,
"Plac.","Sextus Placitus Papyriensis",,,,,,,,"CE 370","Y",,,
"Pompon.","Sextus Pomponius","Pomponius",,,,"CE 2",,,"117-180?","N","N",,
"Turp.","Sextus Turpilius",,,,,"BCE 2",,,,"N","N",,
"Sib.Mag.","Sibylla Maga",,,,,,,,,,"Y",,
"Sib.Tib.","Sibylla Tiburtina",,,,,,,,,,"Y",,
"Sura.","Aemilius Sura",,,,,,,,,,,,
"Sinn.","Sinnius Capito",,,,,"BCE 1",,,,"N","N",,
"Asper.","Aemilius Asper",,,,,"CE 2",,,,,,,
"Sixtus.II.(Ps).","Sixtus II (Incertus)","Pope Sixtus II",,,,,,,,,"Y",,
"Ael.Sab.","Aelius Sabinus",,,,,,,,,,,,
"Ael.Mel.","Aelius Melissus",,,,,"CE 2",,,,,,,
"Sort.Sang.","Sortes Sangallenses",,,,,,,,,,,,
"Statil.","Statilius Maximus",,,,,"CE 2",,,,,,,
"Stat.Tul.","Statius Tullianus",,,,,"CE 4",,,,,,,
"Stat.Val.","Statius Valens",,,,,,,,,,,,
"Stat.Ec.An.","Statuta Ecclesiae antiqua",,,,,"CE 4",,,,"Y","Y",,
"Ael.Maur.","Aelius Maurus",,,,,,,,,,,,
,"Stephanus Presbyter Africanus",,,,,"CE 6",,,,,,,
"Sueius.","Sueius",,,,,"BCE 1",,,,"N","N",,
"Blit.","Sulpicius Blitho",,,,,,,,,,,,
"Serb.","Sulpicius Lupercus Serbastus Iunior",,,,,,,,,,,,
"Marcian.","Aelius Marcianus","Marcianus","Unknown","Unknown",,"CE 3",,,"CE 211-235?","N","N",,
"Sulp.-Sev(Ps).","Sulpicius Severus (Ps)",,,,,,,,,,"Y",,
"Ael.Cord.","Aelius Junius Cordus",,,,,"CE 3",,,,,,,
,"Sulpicius Victor",,,,,"CE 4",,,,,,,
"Sulp.-V.","Sulpicius Victor",,,,,"CE 4",,,,,,,
"Syag.","Syagrius Episcopus",,,,,"CE 5",,,,"Y","Y",,
"Silves.I.(Ps).","Sylvester I Papa (Incertus)","Pope Sylvester I",,,,,,,,,"Y",,
"Tab.Cens.","Tabulae Censoriae",,,,,,,,,"N","N",,
"Asm.","Aelius Festus Asmonius",,,,,"CE 4",,,,,,,
"Tarquit.","Tarquitius Priscus",,,,,"CE 1",,,,"N","N",,
"Fes.Aph.","Aelius Festus Aphthonius",,,,,"CE 4/5",,,,"Y",,,
"Tarr.","Tarrutienus Paternus","Paternus","Unknown","Unknown",,"CE 2",,"CE 183","c. CE 138-183","N","N",,
"Aed.","Aedituus, Valerius",,,,,"BCE 2",,,,,,,
"Tert.","Tertullianus","Tertullianus","Unknown","Unknown",,"CE 2-3",,,"before CE 211","N",,,
"Tetr.Aen.","Tetrasticha in Vergilii Aeneida",,,,,"CE 4/5",,,,,,,
"Tetr.Buc.Georg.","Tetrasticha in Vergilii Bucolica et Georgica",,,,,"CE 4/5",,,,,,,
"Thacom.","Thacomestus",,,,,"CE 4",,,,,,,
"Theod.","Theodosius",,,,,"CE 6",,,,,,,
"Theop.","Theophilus - Sergius - Hyginus",,,,,,,,,,"Y",,
"Tiberian.","Tiberianus, C. Annius ",,,,,"CE 4",,,,"Y","N",,
"C.Pol.","Tiberius Claudius Pollio",,,,,"CE 1","c. CE 49-51",,"c. CE 96-98",,,,
"Titin.","Titinius",,,,,"BCE 1",,,,"N","N",,
"Titius.","Titius grammaticus",,,,,,,,,,,,
"Ps.Titus","Titus",,,,,,,,,,"Y",,
"Labienus.","Titus Labienus",,,,,"BCE 1","BCE 106",,,"N","N",,
"Atta.","Titus Quinctius Atta",,,,,"BCE 2-1",,"BCE 77",,,,,
"Tog.","Togatae Poetarum Incertorum",,,,,,,,,,,,
"Trab.","Trabea",,,,,,,,"c. BCE 120","N","N",,
"Tran.Mar.A.","Transitus Mariae latinus ""A""",,,,,,,,,,"Y",,
"Tran.Mar.C.","Transitus Mariae latinus ""C""",,,,,,,,,,"Y",,
"Tran.Mar.W.","Transitus Mariae latinus ""W""",,,,,,,,,,"Y",,
"Trib.Marian.","Tribunus Marianus",,,,,"CE 6/7",,,,,,,
"Adso(Ps).","Adso Dervensis Incertus",,,,,,,,,,"Y",,
"Mart.Ad.","Adamantius Martyrius",,,,,"CE 5",,,,,,,
"Tuc.","Tuccianus",,,,,"CE 5/6",,,,,,,
"Tul.","Tullius",,,,,,,,,,,,
"Laurea.","Tullius Laurea",,,,,"BCE 1",,,,"N","N",,
"AI","Ad Liviam de morte Drusi",,,,,,,,,,,,
"Tur.","Turdulus Gallicanus",,,,,,,,,,,,
"Turn.","Turnus",,,,,"CE 1",,,,"N","N",,
"Turran.","Turranius Niger",,,,,"BCE 1",,,,"N","N",,
"Turrib.","Turribius Asturicensis",,,,,"CE 5",,,,"Y","Y",,
"AV(PL11)","Auctores Varii",,,,,,,,,"Y","Y",,
"Primus.","Umbrius Primus",,,,,"CE 2",,,,,,,
"Urbanus.","Urbanus",,,,,"CE 4",,,,,,,
"VEsd.","V Esdrae",,,,,,,,,,"Y",,
"VIEsd.","VI Esdrae",,,,,,,,,,"Y",,
"Vag.","Vagellius",,,,,"CE 1",,,,,,,
"Valent.","Valentinus",,,,,"CE 5",,,,"Y","Y",,
"Valer.Cal.","Valerianus Calagoritanus",,,,,"CE 5",,,,"Y","Y",,
"AI","Ad Deum post conversionem",,,,,"CE 5",,,,,,,
"Valerian.","Valerianus, Cornelius",,,,,,,,,,,,
"Valer.","Valerius",,,,,"BCE 1-CE 1",,,,,,,
"Val.Ant.","Valerius Antias",,,,,"BCE 1",,,,"N","N",,
"Act.Verc.","Actus Vercellenses",,,,,,,,,,"Y",,
"Val.Com.","Valerius, comoed.",,,,,"BCE 1",,,"BCE 53",,,,
"Vat.","Vatronius",,,,,"BCE 2",,,,,,,
"Vel.Cel.","Velius Celer",,,,,"CE 2",,,,,,,
"Vel.","Velius Longus",,,,,"CE 2",,,"c. CE 98-117","N","N",,
"Venn.","Vennonius",,,,,"BCE 2-1",,,,,,,
"Ven.","Venuleius Saturninus","Venuleius Saturninus","Unknown","Unknown",,"CE 3",,,"c. CE 138-170","N","N",,
"AI","Actus Petri cum Simone",,,,,,,,,,,,
"Veran(Ps).","Veranius (Incertus)",,,,,,,,,,"Y",,
"Vergil.","Vergiliomastix",,,,,"BCE 1-CE 1",,,,,,,
"Vespa.","Vespa",,,,,"CE 3",,,,,,,
"Spur.","Vestricius Spurinna, Titus",,,,,"CE 1",,,,,,,
"Vett.Phil.","Vettius Philocomus",,,,,"BCE 1",,,,,,,
"Ital.","Vetus Latina",,,,,,,,,"Y","Y",,
"AI","Acta sodalium Augustalium Claudialium",,,,,,,,,,,,
"AI","Acta ludorum saecularium septimorum Septimii Severi",,,,,"CE 3",,,,,,,
"AI","Acta ludorum saecularium quintorum Augusti",,,,,"BCE 1",,,,,,,
"AI","Acta ludorum saecularium Claudianorum",,,,,"CE 1",,,,,,,
"Vict.-Vit(Ps).","Victor Vitensis, Ps.",,,,,"CE 5",,,,"Y","Y",,
"AI","Acta fratrum Arvalium",,,,,,,,,,,,
"Act.Mar.Mat.","Acta et Martyrium Matthaei",,,,,,,,,,"Y",,
"AI","Acta disputationis Achatii",,,,,,,,,,,,
"AI","Acta conciliorum Carthaginensium de haereticorum baptismate",,,,,"CE 3",,,,,,,
"Act.Paul.Thec.","Acta Pauli et Theclae",,,,,,,,,,"Y",,
"AI","Acta Archelai",,,,,"CE 5",,,,,,,
"Act.And.Mat.","Acta Andreae et Matthiae in urbe anthropophagorum",,,,,,,,,,"Y",,
"Vin.","Vindicianus",,,,,"CE 4",,,"c. CE 364-375",,,,
"Vind.","Vindicianus",,,,,"CE 4",,,,"Y",,,
"Vin.Sal.","Vindicta Salvatoris",,,,,,,,,,"Y",,
"Virg.","Virgilius Maro",,,,,"CE 7",,,,,,,
"Vir.","Virius Nicomachus Flavianus",,,,,"CE 4","CE 334","CE 394",,"Y","Y",,
"Vir.Ioh.","Virtutes Iohannis",,,,,,,,,,"Y",,
"Vis.El.","Visio Eliae",,,,,,,,,,"Y",,
"Vis.Esd.","Visio Esdrae",,,,,,,,,,"Y",,
"Vis.Esd.","Visio beati Esdrae",,,,,,,,,,"Y",,
"Vit.Ad.Ev.","Vita Adae et Evae",,,,,,,,,,"Y",,
"Vit.Bern.","Vita Bernensis",,,,,,,,,,,,
"Vit.Gud.","Vita Gudianae",,,,,,,,,,,,
"Vit.Iuv.","Vita Iuvenalis",,,,,,,,,,"N",,
"Vit.Mon.","Vita Monacensis",,,,,,,,,,,,
"Vit.Nor.","Vita Noricensis",,,,,,,,,,,,
,"Vita S. Aniani episcopi Aureliansis",,,,,"CE 5-6",,,,,,,
,"Vita S. Columbae Senonensis",,,,,"CE 6",,,,,,,
,"Vita S. Genovefae",,"Paris",,,"CE 6",,,,,,,
,"Vita S. Hilari abbatis Galeatensis",,,,,"CE 6",,,,,,,
,"Vita S. Marcellini episcopi Ebredunensis",,,,,"CE 4",,,,,,,
