"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Pius.VI.","Pius VI",,"Rome, Italy","Roma, Italia","423025","CE 18","CE 1717","CE 1799",,,"Y","41.891737499999998","12.4861685"
"Aem.Mam.","Lucius Aemilius Mamercus",,"Rome, Italy","Roma, Italia","423025","BCE 5",,,"c. BCE 484-473",,,"41.891737499999998","12.4861685"
"Aem.Reg.","Lucius Aemilius Regillus",,"Rome, Italy","Roma, Italia","423025","BCE 3-2",,,"c. BCE 190",,,"41.891737499999998","12.4861685"
"As.Gal.","Gallus, Gaius Asinius",,"Rome, Italy","Roma, Italia","423025","BCE 1-CE 1","BCE 41","c. CE 33",,"N","N","41.891737499999998","12.4861685"
"Eun.","Eunucus",,"Rome","Roma","423025",,,,,,,"41.891737499999998","12.4861685"
"Carm.Arv.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025",,,,,,,"41.891737499999998","12.4861685"
"App.Sat.","Lucius Appuleius Saturninus",,"Rome, Italy","Roma, Italia","423025","BCE 2",,"BCE 100",,,,"41.891737499999998","12.4861685"
"L.Symm.","Lucius Aurelius Avianius Symmachus",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","N","41.891737499999998","12.4861685"
"Claud.","Claudius Claudianus","Claudian","Rome, Italy","Roma, Italia","423025","CE 4",,"c. CE 404","CE 395-400","Y",,"41.891737499999998","12.4861685"
"Gav.Bas.","Gavius Bassus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,,,"41.891737499999998","12.4861685"
"Comment.Cons.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025","?",,,,,"N","41.891737499999998","12.4861685"
"Comment.Augur.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025","?",,,,,"N","41.891737499999998","12.4861685"
"Comment.Quaestor.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025","?",,,,,"N","41.891737499999998","12.4861685"
"Char.A.","Aurelius Arcadius Charsius","Arcadius Charsius","Rome, Italy","Roma, Italia","423025","CE 3-4?",,,"c. CE 331","Y","N","41.891737499999998","12.4861685"
