Source,Target,Type,id,label,timeset,weight
9,50,Undirected,285,,,4.0
9,51,Undirected,286,,,4.0
9,52,Undirected,287,,,4.0
9,53,Undirected,288,,,4.0
9,54,Undirected,289,,,4.0
9,55,Undirected,290,,,4.0
9,56,Undirected,291,,,4.0
9,57,Undirected,292,,,4.0
9,58,Undirected,293,,,4.0
9,59,Undirected,294,,,4.0
9,60,Undirected,295,,,4.0
9,61,Undirected,296,,,4.0
9,62,Undirected,297,,,4.0
9,63,Undirected,298,,,4.0
9,64,Undirected,299,,,4.0
9,65,Undirected,300,,,4.0
9,66,Undirected,301,,,4.0
9,67,Undirected,302,,,4.0
9,68,Undirected,303,,,4.0
9,8,Undirected,304,,,4.0
9,69,Undirected,305,,,4.0
9,7,Undirected,306,,,4.0
9,70,Undirected,307,,,4.0
10,7,Undirected,308,,,4.0
10,8,Undirected,309,,,4.0
10,9,Undirected,310,,,4.0
10,10,Undirected,311,,,4.0
10,11,Undirected,312,,,4.0
10,12,Undirected,313,,,4.0
10,13,Undirected,314,,,4.0
10,14,Undirected,315,,,4.0
10,15,Undirected,316,,,4.0
10,16,Undirected,317,,,4.0
10,17,Undirected,318,,,4.0
10,18,Undirected,319,,,4.0
10,19,Undirected,320,,,4.0
10,20,Undirected,321,,,4.0
10,21,Undirected,322,,,4.0
10,22,Undirected,323,,,4.0
10,23,Undirected,324,,,4.0
10,24,Undirected,325,,,4.0
10,25,Undirected,326,,,4.0
10,26,Undirected,327,,,4.0
10,27,Undirected,328,,,4.0
10,28,Undirected,329,,,4.0
10,29,Undirected,330,,,4.0
10,30,Undirected,331,,,4.0
10,31,Undirected,332,,,4.0
10,32,Undirected,333,,,4.0
10,33,Undirected,334,,,4.0
10,34,Undirected,335,,,4.0
10,35,Undirected,336,,,4.0
10,36,Undirected,337,,,4.0
10,37,Undirected,338,,,4.0
10,38,Undirected,339,,,4.0
10,39,Undirected,340,,,4.0
10,40,Undirected,341,,,4.0
10,41,Undirected,342,,,4.0
10,42,Undirected,343,,,4.0
10,43,Undirected,344,,,4.0
10,44,Undirected,345,,,4.0
10,45,Undirected,346,,,4.0
10,46,Undirected,347,,,4.0
10,47,Undirected,348,,,4.0
10,48,Undirected,349,,,4.0
10,49,Undirected,350,,,4.0
10,50,Undirected,351,,,4.0
10,51,Undirected,352,,,4.0
10,52,Undirected,353,,,4.0
10,53,Undirected,354,,,4.0
10,54,Undirected,355,,,4.0
10,55,Undirected,356,,,4.0
10,56,Undirected,357,,,4.0
10,57,Undirected,358,,,4.0
10,58,Undirected,359,,,4.0
10,59,Undirected,360,,,4.0
10,60,Undirected,361,,,4.0
10,61,Undirected,362,,,4.0
10,62,Undirected,363,,,4.0
10,63,Undirected,364,,,4.0
10,64,Undirected,365,,,4.0
10,65,Undirected,366,,,4.0
10,66,Undirected,367,,,4.0
10,67,Undirected,368,,,4.0
10,68,Undirected,369,,,4.0
10,69,Undirected,370,,,4.0
10,70,Undirected,371,,,4.0
11,7,Undirected,372,,,4.0
11,8,Undirected,373,,,4.0
11,9,Undirected,374,,,4.0
11,10,Undirected,375,,,4.0
11,11,Undirected,376,,,4.0
11,12,Undirected,377,,,4.0
11,13,Undirected,378,,,4.0
11,14,Undirected,379,,,4.0
11,15,Undirected,380,,,4.0
11,16,Undirected,381,,,4.0
11,17,Undirected,382,,,4.0
11,18,Undirected,383,,,4.0
11,19,Undirected,384,,,4.0
11,20,Undirected,385,,,4.0
11,21,Undirected,386,,,4.0
11,22,Undirected,387,,,4.0
11,23,Undirected,388,,,4.0
11,24,Undirected,389,,,4.0
11,25,Undirected,390,,,4.0
11,26,Undirected,391,,,4.0
11,27,Undirected,392,,,4.0
11,28,Undirected,393,,,4.0
11,29,Undirected,394,,,4.0
11,30,Undirected,395,,,4.0
11,31,Undirected,396,,,4.0
11,32,Undirected,397,,,4.0
11,33,Undirected,398,,,4.0
11,34,Undirected,399,,,4.0
11,35,Undirected,400,,,4.0
11,36,Undirected,401,,,4.0
11,37,Undirected,402,,,4.0
11,38,Undirected,403,,,4.0
11,39,Undirected,404,,,4.0
11,40,Undirected,405,,,4.0
11,41,Undirected,406,,,4.0
11,42,Undirected,407,,,4.0
11,43,Undirected,408,,,4.0
11,44,Undirected,409,,,4.0
11,45,Undirected,410,,,4.0
11,46,Undirected,411,,,4.0
11,47,Undirected,412,,,4.0
11,48,Undirected,413,,,4.0
11,49,Undirected,414,,,4.0
11,50,Undirected,415,,,4.0
11,51,Undirected,416,,,4.0
11,52,Undirected,417,,,4.0
11,53,Undirected,418,,,4.0
11,54,Undirected,419,,,4.0
11,55,Undirected,420,,,4.0
11,56,Undirected,421,,,4.0
11,57,Undirected,422,,,4.0
11,58,Undirected,423,,,4.0
11,59,Undirected,424,,,4.0
11,60,Undirected,425,,,4.0
11,61,Undirected,426,,,4.0
11,62,Undirected,427,,,4.0
11,63,Undirected,428,,,4.0
11,64,Undirected,429,,,4.0
11,65,Undirected,430,,,4.0
11,66,Undirected,431,,,4.0
11,67,Undirected,432,,,4.0
11,68,Undirected,433,,,4.0
11,69,Undirected,434,,,4.0
11,70,Undirected,435,,,4.0
12,7,Undirected,436,,,4.0
12,8,Undirected,437,,,4.0
12,9,Undirected,438,,,4.0
12,10,Undirected,439,,,4.0
12,11,Undirected,440,,,4.0
12,12,Undirected,441,,,4.0
12,13,Undirected,442,,,4.0
12,14,Undirected,443,,,4.0
12,15,Undirected,444,,,4.0
12,16,Undirected,445,,,4.0
12,17,Undirected,446,,,4.0
12,18,Undirected,447,,,4.0
12,19,Undirected,448,,,4.0
12,20,Undirected,449,,,4.0
12,21,Undirected,450,,,4.0
12,22,Undirected,451,,,4.0
12,23,Undirected,452,,,4.0
12,24,Undirected,453,,,4.0
12,25,Undirected,454,,,4.0
12,26,Undirected,455,,,4.0
12,27,Undirected,456,,,4.0
12,28,Undirected,457,,,4.0
12,29,Undirected,458,,,4.0
12,30,Undirected,459,,,4.0
12,31,Undirected,460,,,4.0
12,32,Undirected,461,,,4.0
12,33,Undirected,462,,,4.0
12,34,Undirected,463,,,4.0
12,35,Undirected,464,,,4.0
12,36,Undirected,465,,,4.0
12,37,Undirected,466,,,4.0
12,38,Undirected,467,,,4.0
12,39,Undirected,468,,,4.0
12,40,Undirected,469,,,4.0
12,41,Undirected,470,,,4.0
12,42,Undirected,471,,,4.0
12,43,Undirected,472,,,4.0
12,44,Undirected,473,,,4.0
12,45,Undirected,474,,,4.0
12,46,Undirected,475,,,4.0
12,47,Undirected,476,,,4.0
12,48,Undirected,477,,,4.0
12,49,Undirected,478,,,4.0
12,50,Undirected,479,,,4.0
12,51,Undirected,480,,,4.0
12,52,Undirected,481,,,4.0
12,53,Undirected,482,,,4.0
12,54,Undirected,483,,,4.0
12,55,Undirected,484,,,4.0
12,56,Undirected,485,,,4.0
12,57,Undirected,486,,,4.0
12,58,Undirected,487,,,4.0
